url,page,title,store,brand,tech,size,resolution,price
https://www.walmart.com/ip/Supersonic-SC-1311-13-3-720p-LED-TV/54596354,6,"Supersonic SC-1311 13.3"" 720p LED TV",Walmart,SUPERSONIC,LED,13.3,720p,$99.90
https://www.walmart.com/ip/AXESS-TV1703-13-13-3-Class-LED-TV-720p-1366-x-768/43743377,8,"AXESS TV1703-13 - 13.3"" Class LED TV - 720p 1366 x 768",Walmart,AXESS,LED,13.3,720p,$109.89
https://www.walmart.com/ip/Supersonic-SC-1312-13-3-720p-Widescreen-LED-HDTV-DVD-Combination/22081667,6,"Supersonic SC-1312 13.3"" 720p Widescreen LED HDTV/DVD Combination",Walmart,SUPERSONIC,LED,13.3,720p,$114.50
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-720p-60Hz-SC-1311-and-Mohu-Leaf-30-HDTV-Antenna/55581335,11,"Supersonic 13.3"" Class - HD, LED TV - 720p, 60Hz (SC-1311) and Mohu Leaf 30 HDTV Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$129.99
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-720p-60Hz-SC-1311-and-SC-611-HDTV-Flat-Digital-Antenna/55844201,13,"Supersonic 13.3"" Class - HD LED TV - 720p, 60Hz (SC-1311) and SC-611 HDTV Flat Digital Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$129.99
https://www.walmart.com/ip/Supersonic-SC-1311-13-3-720p-LED-LCD-TV-16-9-HDTV-ATSC-90-deg-45-deg-1366-x-768-USB/158168344,11,"Supersonic SC-1311 13.3"" 720p LED-LCD TV - 16:9 - HDTV - ATSC - 90° / 45° - 1366 x 768 - USB",Walmart,SUPERSONIC,LED,13.3,720p,$137.81
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-DVD-Combo-720p-60Hz-SC-1312-and-SC-611-HDTV-Flat-Digital-Antenna/55844202,10,"Supersonic 13.3"" Class - HD LED TV/DVD Combo - 720p, 60Hz (SC-1312) and SC-611 HDTV Flat Digital Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$144.99
https://www.walmart.com/ip/Axess-13-3-Class-HD-720P-LED-TV-with-Built-in-DVD-TVD1801-13/41051347,9,"Axess 13.3"" Class HD (720P) LED TV with Built-in DVD (TVD1801-13)",Walmart,AXESS,LED,13.3,720p,$159.90
https://www.walmart.com/ip/Supersonic-SC-1312-13-3-Class-LED-TV-with-built-in-DVD-player-720p-1366-x-768-with-Mohu-Leaf-30-HDTV-antenna/55581336,11,"Supersonic SC-1312 - 13.3"" Class LED TV - with built-in DVD player - 720p 1366 x 768 - with Mohu Leaf 30 HDTV antenna",Walmart,SUPERSONIC,LED,13.3,720p,$159.99
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-DVD-Combo-720p-60Hz-SC-1312-and-SC-612-HDTV-Flat-Digital-Antenna/55844188,13,"Supersonic 13.3"" Class - HD LED TV/DVD Combo - 720p, 60Hz (SC-1312) and SC-612 HDTV Flat Digital Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$184.55
https://www.ebay.com/p/4035074821,18,"AXESS TVD1805-13 13.3” LED HDTV Built-in DVD Player, 12V Car Cord, HDMI Remote",Ebay,AXESS,LED,13.3,1080p,$99.99
https://www.ebay.com/p/111563161,16,"Supersonic 13.3-Inch 1080p Widescreen HDTV w/ Remote, HDMI, AC/DC Compatible",Ebay,SUPERSONIC,LED,13.3,1080p,$99.99
https://www.newegg.com/p/0V5-001N-00008,3,"Supersonic SC-1311 13.3"" LED Widescreen HDTV Television w/ HDMI/USB Input",Newegg,SUPERSONIC,LED,13.3,1080p,$99.99
https://www.newegg.com/p/16C-0009-00013,4,"Supersonic SC-1311 White 13.3"" LED Widescreen HDTV Television w/ HDMI In",Newegg,SUPERSONIC,LED,13.3,1080p,$109.00
https://www.walmart.com/ip/Supersonic-SC-1311-White-13-3-LED-Widescreen-HDTV-1080p-Television-w-HDMI-In-Kitchen/113786324,6,"Supersonic SC-1311 White 13.3"" LED Widescreen HDTV 1080p Television w/ HDMI In Kitchen",Walmart,SUPERSONIC,LED,13.3,1080p,$109.00
https://www.ebay.com/p/109603661,10,Supersonic 13.3-Inch 1080p LED Widescreen AC/DC HDTV w/ Built-in DVD Player New,Ebay,SUPERSONIC,LED,13.3,1080p,$114.69
https://www.newegg.com/p/16C-004Y-00001,20,"Small TV - Perfect Kitchen TV – 13.3 inch LED TV – Watch HDTV Anywhere – For Kitchen tv, RV tv, Office tv & more– FREE HD Local Channels – Small HD TV - USB, HDMI, RCA, RF & more",Newegg,RCA,LED,13.3,1080p,$149.99
https://www.ebay.com/p/151779971,10,Supersonic 15 Class LED HDTV with USB and HDMI Input,Ebay,SUPERSONIC,LED,15,1080p,$134.80
https://www.newegg.com/p/12K-0025-000X1,15,"RCA J15SE820 Standard HDTV,LED Display,15"" Screen",Newegg,RCA,LED,15,1080p,$163.69
https://www.walmart.com/ip/Axess-15-4-Class-HD-720P-LED-TV-with-Built-in-DVD-TVD1801-15/41051228,6,"Axess 15.4"" Class HD (720P) LED TV with Built-in DVD (TVD1801-15)",Walmart,AXESS,LED,15.4,720p,$164.99
https://www.walmart.com/ip/Supersonic-SC-1511-15-6-720p-16ms-LED-HDTV/23142955,6,"Supersonic SC-1511 15.6"" 720p 16ms LED HDTV",Walmart,SUPERSONIC,LED,15.6,720p,$94.99
https://www.walmart.com/ip/Supersonic-15-6-Class-HD-LED-TV-720p-60Hz-SC-1511-and-SC-612-HDTV-Flat-Digital-Antenna/55844189,11,"Supersonic 15.6"" Class - HD LED TV - 720p, 60Hz (SC-1511) and SC-612 HDTV Flat Digital Antenna",Walmart,SUPERSONIC,LED,15.6,720p,$134.99
https://www.walmart.com/ip/supersonic-sc-1511-15-6-inch-1366-x-768p-led-widescreen-hdtv-with-hdmi-input-and-ac-dc-compatible-for-rvs/928970323,11,supersonic sc-1511 15.6-inch 1366 x 768p led widescreen hdtv with hdmi input and ac/dc compatible for rvs,Walmart,SUPERSONIC,LED,15.6,768p,$128.99
https://www.newegg.com/p/16E-0009-00001,3,"SuperSonic SC-1511 1080p LED Widescreen HDTV with HDMI Input and AC/DC Compatible for RVs, 15.6-Inch",Newegg,SUPERSONIC,LED,15.6,1080p,$108.50
https://www.newegg.com/p/16C-0009-00030,3,"Supersonic 15.6 Inch 1080p LED Widescreen HDTV,HDMI,AC/DC Compatible | SC-1511",Newegg,SUPERSONIC,LED,15.6,1080p,$109.99
https://www.ebay.com/c/19032756123,2,"Axess 15.6-Inch LED HDTV, AC/DC TV, DVD Player, HDMI/SD/USB Inputs, TVD1805-15 ",Ebay,AXESS,LED,15.6,1080p,$119.99
https://www.newegg.com/p/16C-0009-00015,20,"Supersonic SC-1511 Black 15.6"" 1080p LED HDTV with HDMI & USB Input + Wall Mount",Newegg,SUPERSONIC,LED,15.6,1080p,$124.95
https://www.walmart.com/ip/Supersonic-SC-9919-18-5-720P-LED-TV-DVD-Combination-AC-DC-Compatible-With-RV-Boat/416767005,7,"Supersonic SC-9919 18.5"" 720P LED TV/DVD Combination, AC/DC Compatible With RV/Boat",Walmart,SUPERSONIC,LED,18.5,720p,$120.99
https://www.ebay.com/itm/Samsung-LN19C350D1D-19-720P-LCD-HDTV-No-remote-No-power-Cord/254673292349,18,"Samsung LN19C350D1D 19"" 720P LCD HDTV No remote No power Cord",Ebay,SAMSUNG,LED,19,720p,$59.95
https://www.walmart.com/ip/Sceptre-19-Class-720P-HD-LED-TV-E195BV-SR/55042148,3,"Sceptre 19"" Class 720P HD LED TV E195BV-SR",Walmart,SCEPTRE,LED,19,720p,$69.99
https://www.ebay.com/c/2255364073,16,Nice Insignia NS-19E310a13 19” 720p LED HDTV w/ Remote & 2 HDMI FREESHIP,Ebay,INSIGNIA,LED,19,720p,$73.00
https://www.walmart.com/ip/RCA-19-Class-HD-720P-LED-TV-RT1970/55540603,4,"RCA 19"" Class HD (720P) LED TV (RT1970)",Walmart,RCA,LED,19,720p,$75.00
